Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Play Off Game?,Home Goals,Home Behinds,Away Goals,Away Behinds,Home Odds,Away Odds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Aug-24,16:10,Fremantle,Port Adelaide,Optus Stadium,67,87,,9,13,13,9, 1.72 , 2.04 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Aug-24,15:20,Carlton,St Kilda,Marvel Stadium,74,76,,11,8,11,10, 2.04 , 1.71 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Aug-24,12:30,Western Bulldogs,GWS Giants,Mars Stadium,98,61,,14,14,9,7, 1.39 , 2.81 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Aug-24,19:40,Sydney,Adelaide,SCG,121,90,,18,13,13,12, 1.32 , 3.17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Aug-24,19:30,Brisbane,Essendon,Gabba,87,67,,11,21,10,7, 1.11 , 5.82 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Aug-24,15:20,Richmond,Gold Coast,MCG,66,94,,10,6,14,10, 2.41 , 1.52 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Aug-24,13:45,Geelong,West Coast,GMHBA Stadium,168,75,,26,12,11,9, 1.02 , 12.46 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Aug-24,12:30,Hawthorn,North Melbourne,UTAS Stadium,170,46,,26,14,7,4, 1.02 , 10.53 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Aug-24,19:40,Melbourne,Collingwood,MCG,57,103,,8,9,15,13, 2.02 , 1.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Aug-24,14:40,West Coast,Carlton,Optus Stadium,34,99,,4,10,14,15, 1.70 , 2.07 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Aug-24,15:20,Hawthorn,Richmond,MCG,131,68,,19,17,10,8, 1.06 , 7.96 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Aug-24,13:10,Western Bulldogs,North Melbourne,Marvel Stadium,138,42,,20,18,6,6, 1.07 , 7.30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Aug-24,19:00,Port Adelaide,Adelaide,Adelaide Oval,80,58,,11,14,8,10, 1.44 , 2.64 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Aug-24,19:30,St Kilda,Geelong,Marvel Stadium,107,89,,16,11,14,5, 2.44 , 1.51 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Aug-24,16:35,Collingwood,Brisbane,MCG,79,78,,11,13,11,12, 2.44 , 1.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Aug-24,13:45,Gold Coast,Melbourne,People First Stadium,63,117,,9,9,18,9, 1.37 , 2.90 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Aug-24,13:45,GWS Giants,Fremantle,ENGIE Stadium,101,92,,15,11,14,8, 1.32 , 3.14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Aug-24,19:40,Essendon,Sydney,Marvel Stadium,59,98,,8,11,15,8, 2.12 , 1.66 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Aug-24,16:10,Adelaide,Western Bulldogs,Adelaide Oval,111,72,,17,9,9,18, 2.66 , 1.43 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Aug-24,15:20,Richmond,St Kilda,Marvel Stadium,51,99,,7,9,15,9, 3.81 , 1.23 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Aug-24,13:10,Carlton,Hawthorn,MCG,38,112,,5,8,16,16, 1.79 , 1.93 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Aug-24,19:30,Essendon,Gold Coast,Marvel Stadium,86,87,,12,14,13,9, 1.50 , 2.46 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Aug-24,19:30,Melbourne,Port Adelaide,MCG,51,53,,7,9,7,11, 2.85 , 1.38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Aug-24,16:35,Fremantle,Geelong,Optus Stadium,62,73,,9,8,10,13, 1.51 , 2.42 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
