Year,Round,Date,AwayTeam,AwayTeamScoreFT,RoundOrder,HomeTeam,HomeTeamScoreFT,Result
2012,QF,8/9/2012,Sydney,11.5,26,Adelaide,5.12,win
2012,R12,15/6/2012,St Kilda,16.15,12,Adelaide,17.13,lost
2012,R14,30/6/2012,Richmond,13.9,14,Adelaide,17.4,lost
2012,R17,21/7/2012,West Coast,11.9,17,Adelaide,19.1,lost
2012,R19,5/8/2012,Essendon,15.1,19,Adelaide,16.8,lost
2012,R2,7/4/2012,Western Bulldogs,9.1,2,Adelaide,11.16,lost
2012,R20,11/8/2012,Fremantle,14.7,20,Adelaide,17.17,lost
2012,R23,1/9/2012,Gold Coast,9.8,23,Adelaide,22.21,lost
2012,R4,21/4/2012,Greater Western Sydney,7.8,4,Adelaide,13.18,lost
2012,R5,29/4/2012,Port Adelaide,14.7,5,Adelaide,16.14,lost
2012,R7,12/5/2012,Geelong,10.12,7,Adelaide,19.8,lost
2012,R9,26/5/2012,Collingwood,10.15,9,Adelaide,6.13,win
2012,SF,14/9/2012,Fremantle,11.5,27,Adelaide,12.9,lost
2012,R10,3/6/2012,West Coast,15.1,10,Brisbane Lions,16.6,lost
2012,R14,1/7/2012,Melbourne,8.13,14,Brisbane Lions,18.14,lost
2012,R16,14/7/2012,St Kilda,16.9,16,Brisbane Lions,14.8,win
2012,R19,4/8/2012,Richmond,20.12,19,Brisbane Lions,12.12,win
2012,R2,5/4/2012,Carlton,23.16,2,Brisbane Lions,9.9,win
2012,R21,18/8/2012,Adelaide,12.13,21,Brisbane Lions,13.17,lost
2012,R23,2/9/2012,Western Bulldogs,9.7,23,Brisbane Lions,19.14,lost
2012,R4,21/4/2012,Gold Coast,6.1,4,Brisbane Lions,17.9,lost
2012,R5,28/4/2012,Geelong,12.7,5,Brisbane Lions,4.17,win
2012,R7,12/5/2012,Collingwood,17.14,7,Brisbane Lions,8.1,win
2012,R8,20/5/2012,Greater Western Sydney,5.1,8,Brisbane Lions,19.18,lost
2012,R11,8/6/2012,Geelong,14.13,11,Carlton,11.19,win
2012,R14,29/6/2012,Hawthorn,18.12,14,Carlton,10.1,win
2012,R18,28/7/2012,Richmond,13.13,18,Carlton,14.11,lost
2012,R19,5/8/2012,Sydney,14.9,19,Carlton,10.11,win
2012,R20,11/8/2012,Brisbane Lions,10.17,20,Carlton,17.11,lost
2012,R23,2/9/2012,St Kilda,16.1,23,Carlton,12.19,win
2012,R3,13/4/2012,Collingwood,9.8,3,Carlton,18.14,lost
2012,R4,21/4/2012,Essendon,15.19,4,Carlton,11.13,win
2012,R6,6/5/2012,Greater Western Sydney,6.7,6,Carlton,15.2,lost
2012,R8,20/5/2012,Adelaide,19.1,8,Carlton,8.7,win
2012,R9,27/5/2012,Melbourne,6.13,9,Carlton,15.17,lost
2012,R10,3/6/2012,Gold Coast,7.1,10,Collingwood,23.11,lost
2012,R13,23/6/2012,West Coast,12.1,13,Collingwood,12.13,lost
2012,R14,30/6/2012,Fremantle,12.6,14,Collingwood,15.17,lost
2012,R15,6/7/2012,Carlton,12.13,15,Collingwood,8.14,win
2012,R17,21/7/2012,Hawthorn,21.12,17,Collingwood,13.13,win
2012,R19,4/8/2012,St Kilda,13.7,19,Collingwood,12.19,win
2012,R2,7/4/2012,Richmond,8.16,2,Collingwood,12.13,lost
2012,R21,18/8/2012,North Melbourne,13.13,21,Collingwood,8.13,win
2012,R4,21/4/2012,Port Adelaide,10.13,4,Collingwood,14.13,lost
2012,R5,25/4/2012,Essendon,11.13,5,Collingwood,11.14,lost
2012,R8,18/5/2012,Geelong,11.18,8,Collingwood,14.12,lost
2012,SF,15/9/2012,West Coast,9.6,27,Collingwood,10.13,lost
2012,R10,2/6/2012,Melbourne,8.1,10,Essendon,6.16,win
2012,R11,9/6/2012,Sydney,13.8,11,Essendon,11.16,win
2012,R14,30/6/2012,Western Bulldogs,8.8,14,Essendon,21.14,lost
2012,R18,27/7/2012,Hawthorn,27.18,18,Essendon,12.14,win
2012,R2,7/4/2012,Port Adelaide,13.8,2,Essendon,16.15,lost
2012,R20,12/8/2012,North Melbourne,15.1,20,Essendon,11.1,win
2012,R21,18/8/2012,Carlton,24.12,21,Essendon,8.12,win
2012,R23,1/9/2012,Collingwood,14.2,23,Essendon,10.12,win
2012,R6,5/5/2012,Brisbane Lions,9.8,6,Essendon,19.15,lost
2012,R7,12/5/2012,West Coast,7.1,7,Essendon,16.17,lost
2012,R8,19/5/2012,Richmond,15.19,8,Essendon,19.14,lost
2012,R1,31/3/2012,Geelong,15.11,1,Fremantle,16.9,lost
2012,R10,2/6/2012,Adelaide,17.9,10,Fremantle,12.1,win
2012,R13,23/6/2012,Essendon,17.11,13,Fremantle,14.5,win
2012,R15,8/7/2012,Western Bulldogs,8.9,15,Fremantle,14.11,lost
2012,R17,22/7/2012,Greater Western Sydney,5.7,17,Fremantle,18.24,lost
2012,R19,4/8/2012,West Coast,6.12,19,Fremantle,17.11,lost
2012,R21,18/8/2012,Richmond,11.6,21,Fremantle,13.16,lost
2012,R23,1/9/2012,Melbourne,5.1,23,Fremantle,14.17,lost
2012,R3,14/4/2012,Brisbane Lions,5.5,3,Fremantle,8.16,lost
2012,R5,27/4/2012,Carlton,10.5,5,Fremantle,7.15,win
2012,R7,13/5/2012,Port Adelaide,7.5,7,Fremantle,12.15,lost
2012,EF,8/9/2012,Fremantle,14.12,25,Geelong,11.14,win
2012,R10,2/6/2012,Greater Western Sydney,9.7,10,Geelong,19.12,lost
2012,R14,1/7/2012,Port Adelaide,8.13,14,Geelong,14.15,lost
2012,R16,14/7/2012,Collingwood,17.8,16,Geelong,10.19,win
2012,R17,20/7/2012,Essendon,10.7,17,Geelong,20.14,lost
2012,R18,28/7/2012,Adelaide,11.9,18,Geelong,15.12,lost
2012,R2,9/4/2012,Hawthorn,13.12,2,Geelong,14.8,lost
2012,R21,17/8/2012,St Kilda,11.15,21,Geelong,18.15,lost
2012,R22,26/8/2012,Western Bulldogs,11.7,22,Geelong,16.11,lost
2012,R23,1/9/2012,Sydney,11.12,23,Geelong,17.1,lost
2012,R4,22/4/2012,Richmond,9.11,4,Geelong,11.9,lost
2012,R6,5/5/2012,Melbourne,11.1,6,Geelong,17.17,lost
2012,R1,31/3/2012,Adelaide,19.23,1,Gold Coast,10.8,win
2012,R11,9/6/2012,St Kilda,21.18,11,Gold Coast,7.7,win
2012,R12,16/6/2012,North Melbourne,11.21,12,Gold Coast,12.8,lost
2012,R15,8/7/2012,Geelong,15.2,15,Gold Coast,13.18,win
2012,R17,21/7/2012,Brisbane Lions,8.11,17,Gold Coast,5.18,win
2012,R18,28/7/2012,Sydney,19.12,18,Gold Coast,8.6,win
2012,R20,11/8/2012,Greater Western Sydney,12.7,20,Gold Coast,16.13,lost
2012,R22,25/8/2012,Carlton,11.2,22,Gold Coast,15.8,lost
2012,R3,14/4/2012,Essendon,15.15,3,Gold Coast,13.1,win
2012,R6,5/5/2012,Fremantle,14.1,6,Gold Coast,14.3,lost
2012,R9,26/5/2012,Port Adelaide,17.16,9,Gold Coast,10.1,win
2012,R1,24/3/2012,Sydney,14.16,1,Greater Western Sydney,5.7,win
2012,R12,16/6/2012,Richmond,11.2,12,Greater Western Sydney,12.2,lost
2012,R16,15/7/2012,Adelaide,27.16,16,Greater Western Sydney,8.11,win
2012,R18,28/7/2012,Collingwood,26.18,18,Greater Western Sydney,7.12,win
2012,R19,4/8/2012,Port Adelaide,10.13,19,Greater Western Sydney,16.11,lost
2012,R21,18/8/2012,Melbourne,11.18,21,Greater Western Sydney,9.5,win
2012,R23,1/9/2012,North Melbourne,16.9,23,Greater Western Sydney,11.11,win
2012,R3,15/4/2012,West Coast,23.12,3,Greater Western Sydney,10.9,win
2012,R5,28/4/2012,Western Bulldogs,15.14,5,Greater Western Sydney,9.8,win
2012,R7,12/5/2012,Gold Coast,9.13,7,Greater Western Sydney,13.16,lost
2012,R9,26/5/2012,Essendon,18.11,9,Greater Western Sydney,7.11,win
2012,GF,29/9/2012,Sydney,14.7,29,Hawthorn,11.15,win
2012,PF,22/9/2012,Adelaide,14.8,28,Hawthorn,13.19,win
2012,QF,7/9/2012,Collingwood,15.7,26,Hawthorn,20.15,lost
2012,R1,30/3/2012,Collingwood,16.19,1,Hawthorn,20.17,lost
2012,R10,2/6/2012,North Melbourne,9.5,10,Hawthorn,27.12,lost
2012,R12,17/6/2012,Brisbane Lions,11.4,12,Hawthorn,19.21,lost
2012,R15,8/7/2012,Greater Western Sydney,4.7,15,Hawthorn,28.25,lost
2012,R19,3/8/2012,Geelong,18.1,19,Hawthorn,17.14,win
2012,R20,12/8/2012,Port Adelaide,13.9,20,Hawthorn,24.15,lost
2012,R21,19/8/2012,Gold Coast,10.5,21,Hawthorn,19.15,lost
2012,R23,31/8/2012,West Coast,10.1,23,Hawthorn,14.11,lost
2012,R3,15/4/2012,Adelaide,12.12,3,Hawthorn,21.14,lost
2012,R5,29/4/2012,Sydney,16.1,5,Hawthorn,10.9,win
2012,R8,19/5/2012,Fremantle,9.9,8,Hawthorn,17.17,lost
2012,R1,31/3/2012,Brisbane Lions,17.17,1,Melbourne,11.12,win
2012,R11,11/6/2012,Collingwood,19.15,11,Melbourne,13.9,win
2012,R13,24/6/2012,Greater Western Sydney,9.3,13,Melbourne,20.15,lost
2012,R15,7/7/2012,Richmond,13.23,15,Melbourne,11.12,win
2012,R16,14/7/2012,Fremantle,18.9,16,Melbourne,12.11,win
2012,R17,21/7/2012,Port Adelaide,12.12,17,Melbourne,8.8,win
2012,R19,5/8/2012,Gold Coast,9.12,19,Melbourne,16.12,lost
2012,R22,26/8/2012,Adelaide,22.18,22,Melbourne,11.15,win
2012,R4,22/4/2012,Western Bulldogs,13.1,4,Melbourne,9.13,win
2012,R5,28/4/2012,St Kilda,12.12,5,Melbourne,10.6,win
2012,R7,11/5/2012,Hawthorn,15.25,7,Melbourne,6.13,win
2012,R1,31/3/2012,Essendon,14.2,1,North Melbourne,15.12,lost
2012,R13,24/6/2012,Adelaide,13.11,13,North Melbourne,17.19,lost
2012,R15,7/7/2012,West Coast,12.14,15,North Melbourne,13.6,lost
2012,R16,13/7/2012,Carlton,14.12,16,North Melbourne,24.5,lost
2012,R18,28/7/2012,Melbourne,11.7,18,North Melbourne,19.13,lost
2012,R2,8/4/2012,Greater Western Sydney,8.6,2,North Melbourne,28.15,lost
2012,R22,26/8/2012,Fremantle,20.12,22,North Melbourne,12.7,win
2012,R3,15/4/2012,Geelong,16.18,3,North Melbourne,20.11,lost
2012,R5,28/4/2012,Gold Coast,13.15,5,North Melbourne,17.25,lost
2012,R7,13/5/2012,Western Bulldogs,15.11,7,North Melbourne,12.11,win
2012,R9,27/5/2012,Brisbane Lions,15.6,9,North Melbourne,17.1,lost
2012,R1,1/4/2012,St Kilda,13.7,1,Port Adelaide,13.11,win
2012,R10,2/6/2012,Carlton,6.9,10,Port Adelaide,14.15,lost
2012,R11,10/6/2012,Hawthorn,16.12,11,Port Adelaide,9.8,win
2012,R15,7/7/2012,Adelaide,17.14,15,Port Adelaide,8.1,win
2012,R16,14/7/2012,Essendon,19.13,16,Port Adelaide,11.11,win
2012,R18,29/7/2012,Fremantle,11.9,18,Port Adelaide,6.12,win
2012,R21,19/8/2012,West Coast,14.14,21,Port Adelaide,6.14,win
2012,R22,25/8/2012,Brisbane Lions,16.8,22,Port Adelaide,14.9,win
2012,R3,14/4/2012,Sydney,16.9,3,Port Adelaide,12.11,win
2012,R6,6/5/2012,Richmond,13.13,6,Port Adelaide,8.6,win
2012,R8,19/5/2012,North Melbourne,14.9,8,Port Adelaide,14.11,win
