Year,Round,Date,HomeTeam,HomeTeamScoreFT,RoundOrder,AwayTeam,AwayTeamScoreFT,Result
2012,QF,8/9/2012,Adelaide,5.12,26,Sydney,11.5,lost
2012,R12,15/6/2012,Adelaide,17.13,12,St Kilda,16.15,win
2012,R14,30/6/2012,Adelaide,17.4,14,Richmond,13.9,win
2012,R17,21/7/2012,Adelaide,19.1,17,West Coast,11.9,win
2012,R19,5/8/2012,Adelaide,16.8,19,Essendon,15.1,win
2012,R2,7/4/2012,Adelaide,11.16,2,Western Bulldogs,9.1,win
2012,R20,11/8/2012,Adelaide,17.17,20,Fremantle,14.7,win
2012,R23,1/9/2012,Adelaide,22.21,23,Gold Coast,9.8,win
2012,R4,21/4/2012,Adelaide,13.18,4,Greater Western Sydney,7.8,win
2012,R5,29/4/2012,Adelaide,16.14,5,Port Adelaide,14.7,win
2012,R7,12/5/2012,Adelaide,19.8,7,Geelong,10.12,win
2012,R9,26/5/2012,Adelaide,6.13,9,Collingwood,10.15,lost
2012,SF,14/9/2012,Adelaide,12.9,27,Fremantle,11.5,win
2012,R10,3/6/2012,Brisbane Lions,16.6,10,West Coast,15.1,win
2012,R14,1/7/2012,Brisbane Lions,18.14,14,Melbourne,8.13,win
2012,R16,14/7/2012,Brisbane Lions,14.8,16,St Kilda,16.9,lost
2012,R19,4/8/2012,Brisbane Lions,12.12,19,Richmond,20.12,lost
2012,R2,5/4/2012,Brisbane Lions,9.9,2,Carlton,23.16,lost
2012,R21,18/8/2012,Brisbane Lions,13.17,21,Adelaide,12.13,win
2012,R23,2/9/2012,Brisbane Lions,19.14,23,Western Bulldogs,9.7,win
2012,R4,21/4/2012,Brisbane Lions,17.9,4,Gold Coast,6.1,win
2012,R5,28/4/2012,Brisbane Lions,4.17,5,Geelong,12.7,lost
2012,R7,12/5/2012,Brisbane Lions,8.1,7,Collingwood,17.14,lost
2012,R8,20/5/2012,Brisbane Lions,19.18,8,Greater Western Sydney,5.1,win
2012,R11,8/6/2012,Carlton,11.19,11,Geelong,14.13,lost
2012,R14,29/6/2012,Carlton,10.1,14,Hawthorn,18.12,lost
2012,R18,28/7/2012,Carlton,14.11,18,Richmond,13.13,win
2012,R19,5/8/2012,Carlton,10.11,19,Sydney,14.9,lost
2012,R20,11/8/2012,Carlton,17.11,20,Brisbane Lions,10.17,win
2012,R23,2/9/2012,Carlton,12.19,23,St Kilda,16.1,lost
2012,R3,13/4/2012,Carlton,18.14,3,Collingwood,9.8,win
2012,R4,21/4/2012,Carlton,11.13,4,Essendon,15.19,lost
2012,R6,6/5/2012,Carlton,15.2,6,Greater Western Sydney,6.7,win
2012,R8,20/5/2012,Carlton,8.7,8,Adelaide,19.1,lost
2012,R9,27/5/2012,Carlton,15.17,9,Melbourne,6.13,win
2012,R10,3/6/2012,Collingwood,23.11,10,Gold Coast,7.1,win
2012,R13,23/6/2012,Collingwood,12.13,13,West Coast,12.1,win
2012,R14,30/6/2012,Collingwood,15.17,14,Fremantle,12.6,win
2012,R15,6/7/2012,Collingwood,8.14,15,Carlton,12.13,lost
2012,R17,21/7/2012,Collingwood,13.13,17,Hawthorn,21.12,lost
2012,R19,4/8/2012,Collingwood,12.19,19,St Kilda,13.7,lost
2012,R2,7/4/2012,Collingwood,12.13,2,Richmond,8.16,win
2012,R21,18/8/2012,Collingwood,8.13,21,North Melbourne,13.13,lost
2012,R4,21/4/2012,Collingwood,14.13,4,Port Adelaide,10.13,win
2012,R5,25/4/2012,Collingwood,11.14,5,Essendon,11.13,win
2012,R8,18/5/2012,Collingwood,14.12,8,Geelong,11.18,win
2012,SF,15/9/2012,Collingwood,10.13,27,West Coast,9.6,win
2012,R10,2/6/2012,Essendon,6.16,10,Melbourne,8.1,lost
2012,R11,9/6/2012,Essendon,11.16,11,Sydney,13.8,lost
2012,R14,30/6/2012,Essendon,21.14,14,Western Bulldogs,8.8,win
